date,open,high,low,close,volume
2017-11-06,241.23,240.58,241.31,240.5,476620
2017-11-05,240.58,240.58,241.88,240.42,439820
2017-11-02,240.91,241.96,241.96,239.93,382380
2017-11-01,240.26,241.72,241.72,239.77,308010
2017-10-31,241.64,239.77,242.29,239.69,312260
2017-10-30,240.66,239.69,241.48,238.88,536640
2017-10-29,239.44,239.69,241.31,235.63,350070
2017-10-26,236.84,241.31,241.31,236.28,487980
2017-10-25,239.53,240.74,242.04,239.28,379350
2017-10-24,241.07,242.94,242.94,240.58,297950
2017-10-23,241.72,243.02,243.75,241.31,394930
2017-10-22,243.59,243.1,244.16,241.64,325670
2017-10-19,243.1,241.64,244.56,241.48,395110
2017-10-18,241.56,241.31,242.13,239.93,350930
2017-10-17,240.74,241.39,241.39,237.25,815230
2017-10-16,241.31,245.21,245.21,239.69,295970
2017-10-15,243.26,245.38,245.38,238.88,780130
2017-10-12,244.4,247.49,247.49,243.02,430940
2017-10-11,246.19,247.33,247.81,244.56,396900
2017-10-10,247.33,247.24,248.22,246.19,328440
2017-10-09,247.41,249.52,250.98,247,602040
2017-10-08,249.36,247.81,249.84,246.19,662600
2017-10-05,247,245.38,247.81,244.56,344700
2017-10-04,245.38,247.81,247.81,244.64,522270
2017-10-03,245.46,247,247,244.97,471810
2017-10-02,246.19,250.9,250.9,243.99,437200
2017-09-28,248.63,249.03,250.98,248.06,431080
2017-09-27,250.25,249.44,251.06,249.03,542210
2017-09-26,250.01,249.44,251.88,248.63,364440
2017-09-25,249.76,252.77,253.5,249.28,626120
2017-09-24,252.77,247.57,253.91,247.57,398080
